location,nearby-locations
30.326164000000002-78.425561,"30.326164000000002-78.425561,30.326164000000002-78.43556099999999,30.326164000000002-78.415561,30.326164000000002-78.445561,30.326164000000002-78.40556099999999,30.326164000000002-78.455561,30.326164000000002-78.395561,30.326164000000002-78.465561,30.326164000000002-78.385561,30.326164000000002-78.375561,30.326164000000002-78.475561,30.326164000000002-78.485561,30.326164000000002-78.365561,30.326164000000002-78.495561,30.326164000000002-78.355561,30.326164000000002-78.505561,30.326164000000002-78.345561,30.326164000000002-78.515561,30.326164000000002-78.335561,30.326164000000002-78.525561,30.326164000000002-78.325561,30.326164000000002-78.315561,30.326164000000002-78.535561,30.326164000000002-78.54556099999999,30.326164000000002-78.305561,30.326164000000002-78.555561,30.326164000000002-78.29556099999999,30.326164000000002-78.285561,30.326164000000002-78.565561,30.326164000000002-78.575561,30.326164000000002-78.275561,30.326164000000002-78.585561,30.326164000000002-78.265561,30.326164000000002-78.595561,30.326164000000002-78.255561,30.326164000000002-78.605561,30.326164000000002-78.245561,30.326164000000002-78.235561,30.326164000000002-78.615561,30.326164000000002-78.225561,30.326164000000002-78.625561,30.326164000000002-78.635561,30.326164000000002-78.215561,30.326164000000002-78.645561,30.326164000000002-78.205561,30.326164000000002-78.65556099999999,30.326164000000002-78.195561,30.326164000000002-78.665561,30.326164000000002-78.18556099999999,30.326164000000002-78.175561,30.326164000000002-78.675561,30.326164000000002-78.68556099999999,30.326164000000002-78.165561,30.326164000000002-78.695561,30.326164000000002-78.15556099999999,30.326164000000002-78.145561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.135561,30.326164000000002-78.725561,30.326164000000002-78.125561,30.326164000000002-78.115561,30.326164000000002-78.735561,30.326164000000002-78.745561,30.326164000000002-78.105561,30.326164000000002-78.755561,30.326164000000002-78.095561,30.326164000000002-78.085561,30.326164000000002-78.765561,30.326164000000002-78.775561,30.326164000000002-78.075561,30.326164000000002-78.065561,30.326164000000002-78.785561,30.326164000000002-78.79556099999999,30.326164000000002-78.055561,30.326164000000002-78.805561,30.326164000000002-78.04556099999999,30.326164000000002-78.815561,30.326164000000002-78.035561,30.326164000000002-78.825561,30.326164000000002-78.025561,30.326164000000002-78.835561,30.316164-78.015561,30.326164000000002-78.845561,30.306164000000003-78.005561,30.326164000000002-78.855561,30.296164-77.995561,30.326164000000002-78.865561,30.286164000000003-77.985561,30.326164000000002-78.875561,30.276164-77.975561,30.326164000000002-78.885561,30.266164-77.965561,30.326164000000002-78.895561,30.256164000000002-77.955561,30.326164000000002-78.90556099999999,30.246164-77.945561,30.326164000000002-78.915561,30.326164000000002-78.925561,30.236164000000002-77.93556099999999,30.326164000000002-78.93556099999999,30.226164-77.925561,30.326164000000002-78.945561"
30.326164000000002-78.43556099999999,"30.326164000000002-78.43556099999999,30.326164000000002-78.425561,30.326164000000002-78.445561,30.326164000000002-78.415561,30.326164000000002-78.455561,30.326164000000002-78.465561,30.326164000000002-78.40556099999999,30.326164000000002-78.395561,30.326164000000002-78.475561,30.326164000000002-78.385561,30.326164000000002-78.485561,30.326164000000002-78.375561,30.326164000000002-78.495561,30.326164000000002-78.365561,30.326164000000002-78.505561,30.326164000000002-78.355561,30.326164000000002-78.515561,30.326164000000002-78.345561,30.326164000000002-78.525561,30.326164000000002-78.335561,30.326164000000002-78.535561,30.326164000000002-78.54556099999999,30.326164000000002-78.325561,30.326164000000002-78.315561,30.326164000000002-78.555561,30.326164000000002-78.305561,30.326164000000002-78.565561,30.326164000000002-78.29556099999999,30.326164000000002-78.575561,30.326164000000002-78.285561,30.326164000000002-78.585561,30.326164000000002-78.275561,30.326164000000002-78.595561,30.326164000000002-78.265561,30.326164000000002-78.605561,30.326164000000002-78.255561,30.326164000000002-78.615561,30.326164000000002-78.245561,30.326164000000002-78.625561,30.326164000000002-78.235561,30.326164000000002-78.635561,30.326164000000002-78.225561,30.326164000000002-78.645561,30.326164000000002-78.215561,30.326164000000002-78.65556099999999,30.326164000000002-78.205561,30.326164000000002-78.665561,30.326164000000002-78.195561,30.326164000000002-78.675561,30.326164000000002-78.68556099999999,30.326164000000002-78.18556099999999,30.326164000000002-78.175561,30.326164000000002-78.695561,30.326164000000002-78.165561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.15556099999999,30.326164000000002-78.145561,30.326164000000002-78.725561,30.326164000000002-78.135561,30.326164000000002-78.735561,30.326164000000002-78.125561,30.326164000000002-78.745561,30.326164000000002-78.115561,30.326164000000002-78.755561,30.326164000000002-78.105561,30.326164000000002-78.765561,30.326164000000002-78.095561,30.326164000000002-78.775561,30.326164000000002-78.085561,30.326164000000002-78.785561,30.326164000000002-78.075561,30.326164000000002-78.79556099999999,30.326164000000002-78.065561,30.326164000000002-78.805561,30.326164000000002-78.055561,30.326164000000002-78.815561,30.326164000000002-78.04556099999999,30.326164000000002-78.825561,30.326164000000002-78.035561,30.326164000000002-78.835561,30.326164000000002-78.025561,30.326164000000002-78.845561,30.326164000000002-78.855561,30.316164-78.015561,30.326164000000002-78.865561,30.306164000000003-78.005561,30.326164000000002-78.875561,30.296164-77.995561,30.326164000000002-78.885561,30.286164000000003-77.985561,30.326164000000002-78.895561,30.276164-77.975561,30.326164000000002-78.90556099999999,30.266164-77.965561,30.326164000000002-78.915561,30.256164000000002-77.955561,30.326164000000002-78.925561,30.246164-77.945561,30.326164000000002-78.93556099999999,30.326164000000002-78.945561,30.236164000000002-77.93556099999999,30.326164000000002-78.955561"
30.326164000000002-78.445561,"30.326164000000002-78.445561,30.326164000000002-78.455561,30.326164000000002-78.43556099999999,30.326164000000002-78.425561,30.326164000000002-78.465561,30.326164000000002-78.475561,30.326164000000002-78.415561,30.326164000000002-78.485561,30.326164000000002-78.40556099999999,30.326164000000002-78.495561,30.326164000000002-78.395561,30.326164000000002-78.505561,30.326164000000002-78.385561,30.326164000000002-78.375561,30.326164000000002-78.515561,30.326164000000002-78.525561,30.326164000000002-78.365561,30.326164000000002-78.535561,30.326164000000002-78.355561,30.326164000000002-78.345561,30.326164000000002-78.54556099999999,30.326164000000002-78.555561,30.326164000000002-78.335561,30.326164000000002-78.325561,30.326164000000002-78.565561,30.326164000000002-78.575561,30.326164000000002-78.315561,30.326164000000002-78.585561,30.326164000000002-78.305561,30.326164000000002-78.595561,30.326164000000002-78.29556099999999,30.326164000000002-78.285561,30.326164000000002-78.605561,30.326164000000002-78.275561,30.326164000000002-78.615561,30.326164000000002-78.265561,30.326164000000002-78.625561,30.326164000000002-78.255561,30.326164000000002-78.635561,30.326164000000002-78.245561,30.326164000000002-78.645561,30.326164000000002-78.65556099999999,30.326164000000002-78.235561,30.326164000000002-78.225561,30.326164000000002-78.665561,30.326164000000002-78.215561,30.326164000000002-78.675561,30.326164000000002-78.205561,30.326164000000002-78.68556099999999,30.326164000000002-78.695561,30.326164000000002-78.195561,30.326164000000002-78.705561,30.326164000000002-78.18556099999999,30.326164000000002-78.715561,30.326164000000002-78.175561,30.326164000000002-78.725561,30.326164000000002-78.165561,30.326164000000002-78.735561,30.326164000000002-78.15556099999999,30.326164000000002-78.145561,30.326164000000002-78.745561,30.326164000000002-78.135561,30.326164000000002-78.755561,30.326164000000002-78.125561,30.326164000000002-78.765561,30.326164000000002-78.115561,30.326164000000002-78.775561,30.326164000000002-78.105561,30.326164000000002-78.785561,30.326164000000002-78.095561,30.326164000000002-78.79556099999999,30.326164000000002-78.805561,30.326164000000002-78.085561,30.326164000000002-78.075561,30.326164000000002-78.815561,30.326164000000002-78.065561,30.326164000000002-78.825561,30.326164000000002-78.835561,30.326164000000002-78.055561,30.326164000000002-78.845561,30.326164000000002-78.04556099999999,30.326164000000002-78.855561,30.326164000000002-78.035561,30.326164000000002-78.025561,30.326164000000002-78.865561,30.326164000000002-78.875561,30.316164-78.015561,30.326164000000002-78.885561,30.306164000000003-78.005561,30.326164000000002-78.895561,30.296164-77.995561,30.326164000000002-78.90556099999999,30.286164000000003-77.985561,30.326164000000002-78.915561,30.276164-77.975561,30.326164000000002-78.925561,30.266164-77.965561,30.326164000000002-78.93556099999999,30.256164000000002-77.955561,30.326164000000002-78.945561,30.246164-77.945561,30.326164000000002-78.955561,30.326164000000002-78.965561,30.236164000000002-77.93556099999999"
30.326164000000002-78.455561,"30.326164000000002-78.455561,30.326164000000002-78.465561,30.326164000000002-78.445561,30.326164000000002-78.475561,30.326164000000002-78.43556099999999,30.326164000000002-78.485561,30.326164000000002-78.425561,30.326164000000002-78.495561,30.326164000000002-78.415561,30.326164000000002-78.505561,30.326164000000002-78.40556099999999,30.326164000000002-78.515561,30.326164000000002-78.395561,30.326164000000002-78.525561,30.326164000000002-78.385561,30.326164000000002-78.535561,30.326164000000002-78.375561,30.326164000000002-78.54556099999999,30.326164000000002-78.365561,30.326164000000002-78.555561,30.326164000000002-78.355561,30.326164000000002-78.565561,30.326164000000002-78.345561,30.326164000000002-78.575561,30.326164000000002-78.335561,30.326164000000002-78.585561,30.326164000000002-78.325561,30.326164000000002-78.595561,30.326164000000002-78.315561,30.326164000000002-78.605561,30.326164000000002-78.305561,30.326164000000002-78.615561,30.326164000000002-78.29556099999999,30.326164000000002-78.285561,30.326164000000002-78.625561,30.326164000000002-78.635561,30.326164000000002-78.275561,30.326164000000002-78.645561,30.326164000000002-78.265561,30.326164000000002-78.65556099999999,30.326164000000002-78.255561,30.326164000000002-78.665561,30.326164000000002-78.245561,30.326164000000002-78.235561,30.326164000000002-78.675561,30.326164000000002-78.68556099999999,30.326164000000002-78.225561,30.326164000000002-78.695561,30.326164000000002-78.215561,30.326164000000002-78.705561,30.326164000000002-78.205561,30.326164000000002-78.715561,30.326164000000002-78.195561,30.326164000000002-78.725561,30.326164000000002-78.18556099999999,30.326164000000002-78.735561,30.326164000000002-78.175561,30.326164000000002-78.745561,30.326164000000002-78.165561,30.326164000000002-78.755561,30.326164000000002-78.15556099999999,30.326164000000002-78.145561,30.326164000000002-78.765561,30.326164000000002-78.775561,30.326164000000002-78.135561,30.326164000000002-78.785561,30.326164000000002-78.125561,30.326164000000002-78.79556099999999,30.326164000000002-78.115561,30.326164000000002-78.805561,30.326164000000002-78.105561,30.326164000000002-78.095561,30.326164000000002-78.815561,30.326164000000002-78.825561,30.326164000000002-78.085561,30.326164000000002-78.835561,30.326164000000002-78.075561,30.326164000000002-78.845561,30.326164000000002-78.065561,30.326164000000002-78.855561,30.326164000000002-78.055561,30.326164000000002-78.865561,30.326164000000002-78.04556099999999,30.326164000000002-78.035561,30.326164000000002-78.875561,30.326164000000002-78.885561,30.326164000000002-78.025561,30.326164000000002-78.895561,30.316164-78.015561,30.326164000000002-78.90556099999999,30.306164000000003-78.005561,30.326164000000002-78.915561,30.296164-77.995561,30.326164000000002-78.925561,30.286164000000003-77.985561,30.326164000000002-78.93556099999999,30.276164-77.975561,30.326164000000002-78.945561,30.266164-77.965561,30.326164000000002-78.955561,30.256164000000002-77.955561,30.326164000000002-78.965561,30.246164-77.945561,30.326164000000002-78.975561"
30.326164000000002-78.465561,"30.326164000000002-78.465561,30.326164000000002-78.455561,30.326164000000002-78.475561,30.326164000000002-78.445561,30.326164000000002-78.485561,30.326164000000002-78.495561,30.326164000000002-78.43556099999999,30.326164000000002-78.425561,30.326164000000002-78.505561,30.326164000000002-78.415561,30.326164000000002-78.515561,30.326164000000002-78.525561,30.326164000000002-78.40556099999999,30.326164000000002-78.395561,30.326164000000002-78.535561,30.326164000000002-78.54556099999999,30.326164000000002-78.385561,30.326164000000002-78.375561,30.326164000000002-78.555561,30.326164000000002-78.365561,30.326164000000002-78.565561,30.326164000000002-78.355561,30.326164000000002-78.575561,30.326164000000002-78.345561,30.326164000000002-78.585561,30.326164000000002-78.335561,30.326164000000002-78.595561,30.326164000000002-78.605561,30.326164000000002-78.325561,30.326164000000002-78.315561,30.326164000000002-78.615561,30.326164000000002-78.305561,30.326164000000002-78.625561,30.326164000000002-78.635561,30.326164000000002-78.29556099999999,30.326164000000002-78.285561,30.326164000000002-78.645561,30.326164000000002-78.65556099999999,30.326164000000002-78.275561,30.326164000000002-78.265561,30.326164000000002-78.665561,30.326164000000002-78.255561,30.326164000000002-78.675561,30.326164000000002-78.68556099999999,30.326164000000002-78.245561,30.326164000000002-78.235561,30.326164000000002-78.695561,30.326164000000002-78.225561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.215561,30.326164000000002-78.205561,30.326164000000002-78.725561,30.326164000000002-78.195561,30.326164000000002-78.735561,30.326164000000002-78.745561,30.326164000000002-78.18556099999999,30.326164000000002-78.175561,30.326164000000002-78.755561,30.326164000000002-78.165561,30.326164000000002-78.765561,30.326164000000002-78.15556099999999,30.326164000000002-78.775561,30.326164000000002-78.145561,30.326164000000002-78.785561,30.326164000000002-78.135561,30.326164000000002-78.79556099999999,30.326164000000002-78.125561,30.326164000000002-78.805561,30.326164000000002-78.115561,30.326164000000002-78.815561,30.326164000000002-78.825561,30.326164000000002-78.105561,30.326164000000002-78.095561,30.326164000000002-78.835561,30.326164000000002-78.085561,30.326164000000002-78.845561,30.326164000000002-78.075561,30.326164000000002-78.855561,30.326164000000002-78.065561,30.326164000000002-78.865561,30.326164000000002-78.055561,30.326164000000002-78.875561,30.326164000000002-78.885561,30.326164000000002-78.04556099999999,30.326164000000002-78.035561,30.326164000000002-78.895561,30.326164000000002-78.025561,30.326164000000002-78.90556099999999,30.326164000000002-78.915561,30.316164-78.015561,30.326164000000002-78.925561,30.306164000000003-78.005561,30.326164000000002-78.93556099999999,30.296164-77.995561,30.326164000000002-78.945561,30.286164000000003-77.985561,30.326164000000002-78.955561,30.276164-77.975561,30.326164000000002-78.965561,30.266164-77.965561,30.326164000000002-78.975561,30.256164000000002-77.955561,30.326164000000002-78.985561"
30.326164000000002-78.475561,"30.326164000000002-78.475561,30.326164000000002-78.485561,30.326164000000002-78.465561,30.326164000000002-78.455561,30.326164000000002-78.495561,30.326164000000002-78.505561,30.326164000000002-78.445561,30.326164000000002-78.515561,30.326164000000002-78.43556099999999,30.326164000000002-78.525561,30.326164000000002-78.425561,30.326164000000002-78.535561,30.326164000000002-78.415561,30.326164000000002-78.54556099999999,30.326164000000002-78.40556099999999,30.326164000000002-78.555561,30.326164000000002-78.395561,30.326164000000002-78.565561,30.326164000000002-78.385561,30.326164000000002-78.575561,30.326164000000002-78.375561,30.326164000000002-78.585561,30.326164000000002-78.365561,30.326164000000002-78.595561,30.326164000000002-78.355561,30.326164000000002-78.605561,30.326164000000002-78.345561,30.326164000000002-78.615561,30.326164000000002-78.335561,30.326164000000002-78.325561,30.326164000000002-78.625561,30.326164000000002-78.315561,30.326164000000002-78.635561,30.326164000000002-78.645561,30.326164000000002-78.305561,30.326164000000002-78.65556099999999,30.326164000000002-78.29556099999999,30.326164000000002-78.665561,30.326164000000002-78.285561,30.326164000000002-78.275561,30.326164000000002-78.675561,30.326164000000002-78.265561,30.326164000000002-78.68556099999999,30.326164000000002-78.255561,30.326164000000002-78.695561,30.326164000000002-78.245561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.235561,30.326164000000002-78.725561,30.326164000000002-78.225561,30.326164000000002-78.215561,30.326164000000002-78.735561,30.326164000000002-78.745561,30.326164000000002-78.205561,30.326164000000002-78.755561,30.326164000000002-78.195561,30.326164000000002-78.765561,30.326164000000002-78.18556099999999,30.326164000000002-78.175561,30.326164000000002-78.775561,30.326164000000002-78.165561,30.326164000000002-78.785561,30.326164000000002-78.79556099999999,30.326164000000002-78.15556099999999,30.326164000000002-78.805561,30.326164000000002-78.145561,30.326164000000002-78.815561,30.326164000000002-78.135561,30.326164000000002-78.125561,30.326164000000002-78.825561,30.326164000000002-78.115561,30.326164000000002-78.835561,30.326164000000002-78.845561,30.326164000000002-78.105561,30.326164000000002-78.095561,30.326164000000002-78.855561,30.326164000000002-78.865561,30.326164000000002-78.085561,30.326164000000002-78.875561,30.326164000000002-78.075561,30.326164000000002-78.885561,30.326164000000002-78.065561,30.326164000000002-78.055561,30.326164000000002-78.895561,30.326164000000002-78.90556099999999,30.326164000000002-78.04556099999999,30.326164000000002-78.915561,30.326164000000002-78.035561,30.326164000000002-78.025561,30.326164000000002-78.925561,30.326164000000002-78.93556099999999,30.316164-78.015561,30.326164000000002-78.945561,30.306164000000003-78.005561,30.326164000000002-78.955561,30.296164-77.995561,30.326164000000002-78.965561,30.286164000000003-77.985561,30.326164000000002-78.975561,30.276164-77.975561,30.326164000000002-78.985561,30.266164-77.965561,30.326164000000002-78.995561"
30.326164000000002-78.485561,"30.326164000000002-78.485561,30.326164000000002-78.495561,30.326164000000002-78.475561,30.326164000000002-78.505561,30.326164000000002-78.465561,30.326164000000002-78.515561,30.326164000000002-78.455561,30.326164000000002-78.525561,30.326164000000002-78.445561,30.326164000000002-78.535561,30.326164000000002-78.43556099999999,30.326164000000002-78.54556099999999,30.326164000000002-78.425561,30.326164000000002-78.555561,30.326164000000002-78.415561,30.326164000000002-78.565561,30.326164000000002-78.40556099999999,30.326164000000002-78.575561,30.326164000000002-78.395561,30.326164000000002-78.585561,30.326164000000002-78.385561,30.326164000000002-78.595561,30.326164000000002-78.375561,30.326164000000002-78.605561,30.326164000000002-78.365561,30.326164000000002-78.615561,30.326164000000002-78.355561,30.326164000000002-78.625561,30.326164000000002-78.345561,30.326164000000002-78.635561,30.326164000000002-78.335561,30.326164000000002-78.645561,30.326164000000002-78.325561,30.326164000000002-78.65556099999999,30.326164000000002-78.315561,30.326164000000002-78.665561,30.326164000000002-78.305561,30.326164000000002-78.675561,30.326164000000002-78.29556099999999,30.326164000000002-78.68556099999999,30.326164000000002-78.285561,30.326164000000002-78.695561,30.326164000000002-78.275561,30.326164000000002-78.265561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.255561,30.326164000000002-78.725561,30.326164000000002-78.245561,30.326164000000002-78.735561,30.326164000000002-78.235561,30.326164000000002-78.745561,30.326164000000002-78.225561,30.326164000000002-78.755561,30.326164000000002-78.215561,30.326164000000002-78.765561,30.326164000000002-78.205561,30.326164000000002-78.775561,30.326164000000002-78.195561,30.326164000000002-78.785561,30.326164000000002-78.18556099999999,30.326164000000002-78.79556099999999,30.326164000000002-78.175561,30.326164000000002-78.805561,30.326164000000002-78.165561,30.326164000000002-78.815561,30.326164000000002-78.15556099999999,30.326164000000002-78.825561,30.326164000000002-78.145561,30.326164000000002-78.835561,30.326164000000002-78.135561,30.326164000000002-78.125561,30.326164000000002-78.845561,30.326164000000002-78.855561,30.326164000000002-78.115561,30.326164000000002-78.865561,30.326164000000002-78.105561,30.326164000000002-78.875561,30.326164000000002-78.095561,30.326164000000002-78.885561,30.326164000000002-78.085561,30.326164000000002-78.895561,30.326164000000002-78.075561,30.326164000000002-78.90556099999999,30.326164000000002-78.065561,30.326164000000002-78.915561,30.326164000000002-78.055561,30.326164000000002-78.925561,30.326164000000002-78.04556099999999,30.326164000000002-78.93556099999999,30.326164000000002-78.035561,30.326164000000002-78.945561,30.326164000000002-78.025561,30.326164000000002-78.955561,30.316164-78.015561,30.326164000000002-78.965561,30.306164000000003-78.005561,30.326164000000002-78.975561,30.296164-77.995561,30.326164000000002-78.985561,30.286164000000003-77.985561,30.326164000000002-78.995561,30.276164-77.975561,30.326164000000002-79.005561"
30.326164000000002-78.495561,"30.326164000000002-78.495561,30.326164000000002-78.485561,30.326164000000002-78.505561,30.326164000000002-78.475561,30.326164000000002-78.515561,30.326164000000002-78.525561,30.326164000000002-78.465561,30.326164000000002-78.455561,30.326164000000002-78.535561,30.326164000000002-78.54556099999999,30.326164000000002-78.445561,30.326164000000002-78.555561,30.326164000000002-78.43556099999999,30.326164000000002-78.425561,30.326164000000002-78.565561,30.326164000000002-78.575561,30.326164000000002-78.415561,30.326164000000002-78.40556099999999,30.326164000000002-78.585561,30.326164000000002-78.395561,30.326164000000002-78.595561,30.326164000000002-78.385561,30.326164000000002-78.605561,30.326164000000002-78.375561,30.326164000000002-78.615561,30.326164000000002-78.365561,30.326164000000002-78.625561,30.326164000000002-78.635561,30.326164000000002-78.355561,30.326164000000002-78.345561,30.326164000000002-78.645561,30.326164000000002-78.65556099999999,30.326164000000002-78.335561,30.326164000000002-78.665561,30.326164000000002-78.325561,30.326164000000002-78.315561,30.326164000000002-78.675561,30.326164000000002-78.68556099999999,30.326164000000002-78.305561,30.326164000000002-78.29556099999999,30.326164000000002-78.695561,30.326164000000002-78.285561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.275561,30.326164000000002-78.265561,30.326164000000002-78.725561,30.326164000000002-78.255561,30.326164000000002-78.735561,30.326164000000002-78.745561,30.326164000000002-78.245561,30.326164000000002-78.235561,30.326164000000002-78.755561,30.326164000000002-78.225561,30.326164000000002-78.765561,30.326164000000002-78.775561,30.326164000000002-78.215561,30.326164000000002-78.205561,30.326164000000002-78.785561,30.326164000000002-78.79556099999999,30.326164000000002-78.195561,30.326164000000002-78.18556099999999,30.326164000000002-78.805561,30.326164000000002-78.175561,30.326164000000002-78.815561,30.326164000000002-78.165561,30.326164000000002-78.825561,30.326164000000002-78.15556099999999,30.326164000000002-78.835561,30.326164000000002-78.145561,30.326164000000002-78.845561,30.326164000000002-78.855561,30.326164000000002-78.135561,30.326164000000002-78.125561,30.326164000000002-78.865561,30.326164000000002-78.115561,30.326164000000002-78.875561,30.326164000000002-78.105561,30.326164000000002-78.885561,30.326164000000002-78.095561,30.326164000000002-78.895561,30.326164000000002-78.90556099999999,30.326164000000002-78.085561,30.326164000000002-78.915561,30.326164000000002-78.075561,30.326164000000002-78.065561,30.326164000000002-78.925561,30.326164000000002-78.055561,30.326164000000002-78.93556099999999,30.326164000000002-78.945561,30.326164000000002-78.04556099999999,30.326164000000002-78.035561,30.326164000000002-78.955561,30.326164000000002-78.025561,30.326164000000002-78.965561,30.326164000000002-78.975561,30.316164-78.015561,30.326164000000002-78.985561,30.306164000000003-78.005561,30.326164000000002-78.995561,30.296164-77.995561,30.326164000000002-79.005561,30.286164000000003-77.985561,30.326164000000002-79.015561"
30.326164000000002-78.505561,"30.326164000000002-78.505561,30.326164000000002-78.515561,30.326164000000002-78.495561,30.326164000000002-78.525561,30.326164000000002-78.485561,30.326164000000002-78.475561,30.326164000000002-78.535561,30.326164000000002-78.54556099999999,30.326164000000002-78.465561,30.326164000000002-78.555561,30.326164000000002-78.455561,30.326164000000002-78.565561,30.326164000000002-78.445561,30.326164000000002-78.575561,30.326164000000002-78.43556099999999,30.326164000000002-78.585561,30.326164000000002-78.425561,30.326164000000002-78.595561,30.326164000000002-78.415561,30.326164000000002-78.605561,30.326164000000002-78.40556099999999,30.326164000000002-78.615561,30.326164000000002-78.395561,30.326164000000002-78.625561,30.326164000000002-78.385561,30.326164000000002-78.635561,30.326164000000002-78.375561,30.326164000000002-78.645561,30.326164000000002-78.365561,30.326164000000002-78.65556099999999,30.326164000000002-78.355561,30.326164000000002-78.665561,30.326164000000002-78.345561,30.326164000000002-78.335561,30.326164000000002-78.675561,30.326164000000002-78.68556099999999,30.326164000000002-78.325561,30.326164000000002-78.315561,30.326164000000002-78.695561,30.326164000000002-78.305561,30.326164000000002-78.705561,30.326164000000002-78.715561,30.326164000000002-78.29556099999999,30.326164000000002-78.725561,30.326164000000002-78.285561,30.326164000000002-78.275561,30.326164000000002-78.735561,30.326164000000002-78.265561,30.326164000000002-78.745561,30.326164000000002-78.255561,30.326164000000002-78.755561,30.326164000000002-78.245561,30.326164000000002-78.765561,30.326164000000002-78.775561,30.326164000000002-78.235561,30.326164000000002-78.225561,30.326164000000002-78.785561,30.326164000000002-78.79556099999999,30.326164000000002-78.215561,30.326164000000002-78.805561,30.326164000000002-78.205561,30.326164000000002-78.815561,30.326164000000002-78.195561,30.326164000000002-78.825561,30.326164000000002-78.18556099999999,30.326164000000002-78.175561,30.326164000000002-78.835561,30.326164000000002-78.165561,30.326164000000002-78.845561,30.326164000000002-78.855561,30.326164000000002-78.15556099999999,30.326164000000002-78.145561,30.326164000000002-78.865561,30.326164000000002-78.875561,30.326164000000002-78.135561,30.326164000000002-78.885561,30.326164000000002-78.125561,30.326164000000002-78.115561,30.326164000000002-78.895561,30.326164000000002-78.90556099999999,30.326164000000002-78.105561,30.326164000000002-78.095561,30.326164000000002-78.915561,30.326164000000002-78.925561,30.326164000000002-78.085561,30.326164000000002-78.93556099999999,30.326164000000002-78.075561,30.326164000000002-78.065561,30.326164000000002-78.945561,30.326164000000002-78.955561,30.326164000000002-78.055561,30.326164000000002-78.965561,30.326164000000002-78.04556099999999,30.326164000000002-78.035561,30.326164000000002-78.975561,30.326164000000002-78.025561,30.326164000000002-78.985561,30.326164000000002-78.995561,30.316164-78.015561,30.326164000000002-79.005561,30.306164000000003-78.005561,30.326164000000002-79.015561,30.296164-77.995561,30.326164000000002-79.025561"
30.326164000000002-78.515561,"30.326164000000002-78.515561,30.326164000000002-78.525561,30.326164000000002-78.505561,30.326164000000002-78.535561,30.326164000000002-78.495561,30.326164000000002-78.54556099999999,30.326164000000002-78.485561,30.326164000000002-78.555561,30.326164000000002-78.475561,30.326164000000002-78.565561,30.326164000000002-78.465561,30.326164000000002-78.575561,30.326164000000002-78.455561,30.326164000000002-78.585561,30.326164000000002-78.445561,30.326164000000002-78.595561,30.326164000000002-78.43556099999999,30.326164000000002-78.605561,30.326164000000002-78.425561,30.326164000000002-78.615561,30.326164000000002-78.415561,30.326164000000002-78.625561,30.326164000000002-78.40556099999999,30.326164000000002-78.635561,30.326164000000002-78.395561,30.326164000000002-78.645561,30.326164000000002-78.385561,30.326164000000002-78.65556099999999,30.326164000000002-78.375561,30.326164000000002-78.665561,30.326164000000002-78.365561,30.326164000000002-78.675561,30.326164000000002-78.355561,30.326164000000002-78.68556099999999,30.326164000000002-78.345561,30.326164000000002-78.695561,30.326164000000002-78.335561,30.326164000000002-78.705561,30.326164000000002-78.325561,30.326164000000002-78.715561,30.326164000000002-78.315561,30.326164000000002-78.725561,30.326164000000002-78.305561,30.326164000000002-78.735561,30.326164000000002-78.29556099999999,30.326164000000002-78.745561,30.326164000000002-78.285561,30.326164000000002-78.755561,30.326164000000002-78.275561,30.326164000000002-78.265561,30.326164000000002-78.765561,30.326164000000002-78.775561,30.326164000000002-78.255561,30.326164000000002-78.785561,30.326164000000002-78.245561,30.326164000000002-78.79556099999999,30.326164000000002-78.235561,30.326164000000002-78.805561,30.326164000000002-78.225561,30.326164000000002-78.815561,30.326164000000002-78.215561,30.326164000000002-78.825561,30.326164000000002-78.205561,30.326164000000002-78.835561,30.326164000000002-78.195561,30.326164000000002-78.845561,30.326164000000002-78.18556099999999,30.326164000000002-78.855561,30.326164000000002-78.175561,30.326164000000002-78.865561,30.326164000000002-78.165561,30.326164000000002-78.875561,30.326164000000002-78.15556099999999,30.326164000000002-78.885561,30.326164000000002-78.145561,30.326164000000002-78.895561,30.326164000000002-78.135561,30.326164000000002-78.90556099999999,30.326164000000002-78.125561,30.326164000000002-78.915561,30.326164000000002-78.115561,30.326164000000002-78.925561,30.326164000000002-78.105561,30.326164000000002-78.93556099999999,30.326164000000002-78.095561,30.326164000000002-78.945561,30.326164000000002-78.085561,30.326164000000002-78.955561,30.326164000000002-78.075561,30.326164000000002-78.965561,30.326164000000002-78.065561,30.326164000000002-78.975561,30.326164000000002-78.055561,30.326164000000002-78.985561,30.326164000000002-78.04556099999999,30.326164000000002-78.995561,30.326164000000002-78.035561,30.326164000000002-79.005561,30.326164000000002-78.025561,30.326164000000002-79.015561,30.316164-78.015561,30.326164000000002-79.025561,30.306164000000003-78.005561,30.326164000000002-79.035561"
